id_cliente,qtde_compras,valor_compras,periodo_consumo
100471.0,1,13.23,2024-11
100518.0,1,18.76,2024-11
101471.0,1,18.56,2024-11
101894.0,1,18.55,2024-11
102404.0,1,19.01,2024-11
100538.0,1,19.8,2024-11
102350.0,1,21.18,2024-11
100987.0,1,15.43,2024-11
101457.0,1,21.39,2024-11
102431.0,13,232.46,2024-12
101053.0,12,160.29,2024-12
100529.0,12,157.91,2024-12
102064.0,12,193.44,2024-12
100161.0,12,251.52,2024-12
100531.0,11,221.44,2024-12
101597.0,11,231.0,2024-12
101076.0,11,198.94,2024-12
100199.0,10,172.58,2024-12
102337.0,10,141.14,2024-12
101400.0,10,160.55,2024-12
100925.0,10,171.91,2024-12
100426.0,9,121.33,2024-12
101266.0,9,134.09,2024-12
101823.0,9,170.59,2024-12
100356.0,8,163.45,2024-12
101525.0,8,186.02,2024-12
100829.0,8,180.41,2024-12
100049.0,8,155.45,2024-12
102204.0,7,119.38,2024-12
100044.0,7,135.54,2024-12
100372.0,7,146.78,2024-12
100874.0,6,82.81,2024-12
101461.0,6,101.59,2024-12
101688.0,6,129.3,2024-12
102646.0,6,99.91,2024-12
100501.0,6,112.03,2024-12
101318.0,6,113.06,2024-12
102138.0,6,87.07,2024-12
102000.0,6,98.52,2024-12
102246.0,6,96.74,2024-12
102608.0,5,64.06,2024-12
100769.0,5,63.95,2024-12
100276.0,5,107.31,2024-12
100803.0,5,77.31,2024-12
100100.0,5,90.47,2024-12
101233.0,5,78.69,2024-12
100349.0,5,113.16,2024-12
100666.0,5,76.57,2024-12
100039.0,5,85.72,2024-12
100396.0,4,87.61,2024-12
101806.0,4,86.29,2024-12
100376.0,4,58.11,2024-12
100113.0,4,84.6,2024-12
100866.0,4,69.8,2024-12
100477.0,4,70.87,2024-12
102150.0,4,55.85,2024-12
100250.0,4,53.58,2024-12
100019.0,4,81.39,2024-12
102538.0,4,71.45,2024-12
100631.0,4,68.89,2024-12
100761.0,4,81.46,2024-12
100395.0,4,83.01,2024-12
101360.0,4,56.95,2024-12
100789.0,4,76.34,2024-12
101484.0,3,41.95,2024-12
